Rank,Name,Year,Publisher,Global_Sales_Millions
1,Wii Sports,2006,Nintendo,82.74
2,Super Mario Bros.,1985,Nintendo,40.24
3,Mario Kart Wii,2008,Nintendo,35.82
4,Wii Sports Resort,2009,Nintendo,33
5,Pokemon Red/Pokemon Blue,1996,Nintendo,31.37
6,Tetris,1989,Nintendo,30.26
7,New Super Mario Bros.,2006,Nintendo,30.01
8,Wii Play,2006,Nintendo,29.02
9,New Super Mario Bros. Wii,2009,Nintendo,28.62
10,Duck Hunt,1984,Nintendo,28.31
11,Nintendogs,2005,Nintendo,24.76
12,Mario Kart DS,2005,Nintendo,23.42
13,Pokemon Gold/Pokemon Silver,1999,Nintendo,23.1
14,Wii Fit,2007,Nintendo,22.72
15,Wii Fit Plus,2009,Nintendo,22
16,Kinect Adventures!,2010,Microsoft Game Studios,21.82
19,Super Mario World,1990,Nintendo,20.61
20,Brain Age: Train Your Brain in Minutes a Day,2005,Nintendo,20.22
21,Pokemon Diamond/Pokemon Pearl,2006,Nintendo,18.36
22,Super Mario Land,1989,Nintendo,18.14
23,Super Mario Bros. 3,1988,Nintendo,17.28
26,Pokemon Ruby/Pokemon Sapphire,2002,Nintendo,15.85
27,Pokemon Black/Pokemon White,2010,Nintendo,15.32
28,Brain Age 2: More Training in Minutes a Day,2005,Nintendo,15.3
29,Gran Turismo 3: A-Spec,2001,Sony Computer Entertainment,14.98
31,Pokémon Yellow: Special Pikachu Edition,1998,Nintendo,14.64
33,Pokemon X/Pokemon Y,2013,Nintendo,14.35
40,Super Smash Bros. Brawl,2008,Nintendo,13.04
42,Animal Crossing: Wild World,2005,Nintendo,12.27
43,Mario Kart 7,2011,Nintendo,12.21
44,Halo 3,2007,Microsoft Game Studios,12.14
46,Pokemon HeartGold/Pokemon SoulSilver,2009,Nintendo,11.9
47,Super Mario 64,1996,Nintendo,11.89
48,Gran Turismo 4,2004,Sony Computer Entertainment,11.66
49,Super Mario Galaxy,2007,Nintendo,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Nintendo,11.33
51,Super Mario Land 2: 6 Golden Coins,1992,Nintendo,11.18
53,Gran Turismo,1997,Sony Computer Entertainment,10.95
54,Super Mario 3D Land,2011,Nintendo,10.79
55,Gran Turismo 5,2010,Sony Computer Entertainment,10.77
58,Super Mario All-Stars,1993,Nintendo,10.55
59,Pokemon FireRed/Pokemon LeafGreen,2004,Nintendo,10.49
60,Super Mario 64,2004,Nintendo,10.42
63,Halo: Reach,2010,Microsoft Game Studios,9.88
64,Mario Kart 64,1996,Nintendo,9.87
65,New Super Mario Bros. 2,2012,Nintendo,9.82
66,Halo 4,2012,Microsoft Game Studios,9.76
67,Final Fantasy VII,1997,Sony Computer Entertainment,9.72
70,Gran Turismo 2,1999,Sony Computer Entertainment,9.49
72,Donkey Kong Country,1994,Nintendo,9.3
73,Minecraft,2013,Microsoft Game Studios,9.2
74,Animal Crossing: New Leaf,2012,Nintendo,9.09
