ID,Publisher,Total_Games
1,Electronic Arts,1351
2,Activision,975
3,Namco Bandai Games,932
4,Ubisoft,921
5,Konami Digital Entertainment,832
6,THQ,715
7,Nintendo,703
8,Sony Computer Entertainment,683
9,Sega,639
10,Take-Two Interactive,413
11,Capcom,381
12,Atari,363
13,Tecmo Koei,338
14,Square Enix,233
15,Warner Bros. Interactive Entertainment,232
16,Disney Interactive Studios,218
17,Unknown,203
18,Eidos Interactive,198
19,Midway Games,198
20,505 Games,192
21,Microsoft Game Studios,189
22,Acclaim Entertainment,184
23,D3Publisher,184
24,Vivendi Games,164
25,Codemasters,152
26,Idea Factory,129
27,Deep Silver,122
28,Nippon Ichi Software,105
29,Zoo Digital Publishing,104
30,Majesco Entertainment,92
31,LucasArts,90
32,Rising Star Games,86
33,Hudson Soft,81
34,Banpresto,73
35,Crave Entertainment,71
36,Bethesda Softworks,71
37,Atlus,67
38,Virgin Interactive,62
39,Infogrames,62
40,Ignition Entertainment,61
41,5pb,61
42,Focus Home Interactive,58
43,Marvelous Interactive,56
44,Empire Interactive,52
45,SquareSoft,52
46,Kadokawa Shoten,50
47,GT Interactive,45
48,Destineer,45
49,DTP Entertainment,45
50,Alchemist,43
51,MTV Games,41
52,PQube,39
53,Global Star,39
54,Spike,37
55,Takara Tomy,37
56,SouthPeak Games,37
57,TDK Mediactive,36
58,3DO,36
59,BAM! Entertainment,35
60,Nordic Games,35
61,Black Bean Games,34
62,Zoo Games,33
63,Psygnosis,32
64,Mindscape,32
65,Game Factory,32
66,Enix Corporation,30
67,Interplay,30
68,Kalypso Media,29
69,Activision Value,29
70,FuRyu,27
71,Prototype,27
72,Level 5,27
73,Arc System Works,26
74,Avanquest,26
75,Little Orbit,26
76,Telltale Games,25
77,Midas Interactive Entertainment,24
78,Jaleco,23
79,Paradox Interactive,23
80,Aqua Plus,23
81,Universal Interactive,23
82,JoWood Productions,22
83,SNK,22
84,Oxygen Interactive,22
85,Broccoli,22
86,Kemco,21
87,Compile Heart,20
88,ASCII Entertainment,20
89,City Interactive,19
90,Titus,19
91,Storm City Games,19
92,Taito,19
93,Success,19
94,ChunSoft,18
95,Tomy Corporation,18
96,SNK Playmore,18
97,Zushi Games,18
98,DreamCatcher Interactive,17
99,O-Games,17
100,Koch Media,17
101,Natsume,17
102,Rocket Company,17
103,SCi,17
104,UFO Interactive,16
105,Imagineer,16
106,Hasbro Interactive,16
107,GSP,16
108,Falcom Corporation,16
109,Mastiff,16
110,Takara,16
111,Milestone S.r.l.,16
112,Sony Computer Entertainment Europe,15
113,Enterbrain,15
114,From Software,15
115,Ghostlight,15
116,Kadokawa Games,15
117,PopCap Games,15
118,Rondomedia,14
119,Quinrose,14
120,Ocean,14
121,989 Studios,14
122,Playlogic Game Factory,14
123,Ubisoft Annecy,14
124,Conspiracy Entertainment,14
125,CyberFront,14
126,System 3 Arcade Software,14
127,Play It,14
128,Acquire,13
129,Human Entertainment,13
130,GungHo,13
131,Nobilis,13
132,Bigben Interactive,13
133,Gust,13
134,Mastertronic,13
135,Irem Software Engineering,12
136,Mattel Interactive,12
137,"Destination Software, Inc",12
138,XS Games,12
139,Metro 3D,12
140,Marvelous Entertainment,12
141,Yeti,11
142,Sammy Corporation,11
143,Hudson Entertainment,11
144,Sunsoft,10
145,Ackkstudios,10
146,Popcorn Arcade,10
147,Microids,10
148,Cave,10
149,Scholastic Inc.,10
150,Starfish,10
151,Brash Entertainment,10
152,Xplosiv,10
153,Gremlin Interactive Ltd,9
154,Foreign Media Games,9
155,Avanquest Software,9
156,Victor Interactive,9
157,ArtDink,9
158,NewKidCo,9
159,Sting,9
160,Gathering of Developers,9
161,ASCII Media Works,9
162,Aspyr,8
163,Genki,8
164,MTO,8
165,Valcon Games,8
166,Asgard,8
167,Fox Interactive,8
168,Aksys Games,8
169,Agetec,8
170,Telegames,8
171,Sony Online Entertainment,8
172,Evolved Games,8
173,RTL,8
174,JVC,8
175,NEC Interchannel,8
176,GameMill Entertainment,8
177,Tru Blu Entertainment,8
178,Rage Software,7
179,BMG Interactive Entertainment,7
180,Gotham Games,7
181,Reef Entertainment,7
182,Epoch,7
183,LEGO Media,7
184,Nippon Columbia,7
185,Nihon Falcom Corporation,7
186,Hackberry,7
187,Parker Bros.,7
188,Neko Entertainment,7
189,Big Ben Interactive,7
190,Screenlife,6
191,Paon,6
192,Benesse,6
193,Blast! Entertainment Ltd,6
194,Microprose,6
195,Kaga Create,6
196,NCSoft,6
197,Mumbo Jumbo,6
198,Comfort,6
199,Funbox Media,6
200,Swing! Entertainment,6
201,Square,6
202,Avalon Interactive,6
203,Graffiti,6
204,Astragon,6
