ID,Publisher,Total_Sales_Millions
1,Nintendo,1786.56
2,Electronic Arts,1110.32
3,Activision,727.46
4,Sony Computer Entertainment,607.5
5,Ubisoft,474.72
6,Take-Two Interactive,399.54
7,THQ,340.77
8,Konami Digital Entertainment,283.64
9,Sega,272.99
10,Namco Bandai Games,254.09
11,Microsoft Game Studios,245.79
12,Capcom,200.89
13,Atari,157.22
14,Warner Bros. Interactive Entertainment,153.89000000000001
15,Square Enix,145.18
16,Disney Interactive Studios,119.96000000000001
17,Eidos Interactive,98.98
18,LucasArts,87.34
19,Bethesda Softworks,82.14
20,Midway Games,69.85
21,Acclaim Entertainment,64.14
22,Vivendi Games,58.21
23,SquareSoft,57.65
24,505 Games,55.91
25,Tecmo Koei,53.55
26,Codemasters,47.87
27,Virgin Interactive,43.87
28,Unknown,34.66
29,Enix Corporation,33.74
30,Deep Silver,25.67
31,GT Interactive,25.23
32,D3Publisher,24.13
33,Sony Computer Entertainment Europe,23.89
34,Hudson Soft,23.01
35,MTV Games,20.97
36,Universal Interactive,17.77
37,Banpresto,17.4
38,Rising Star Games,17.31
39,Infogrames,16.34
40,Majesco Entertainment,16.08
41,Hasbro Interactive,15.22
42,Nippon Ichi Software,14.28
43,989 Studios,13.32
44,Zoo Digital Publishing,12.87
45,Atlus,12.74
46,Level 5,12.17
47,Empire Interactive,11.29
48,ASCII Entertainment,10.89
49,3DO,10.120000000000001
50,Crave Entertainment,9.93
51,RedOctane,8.68
52,TDK Mediactive,8.31
53,Mindscape,7.74
54,Global Star,7.65
55,Focus Home Interactive,7.51
56,Fox Interactive,7.39
57,Psygnosis,7.27
58,Activision Value,6.96
59,Ignition Entertainment,6.82
60,Interplay,6.66
61,SouthPeak Games,6.35
62,Spike,6.15
63,Red Orb,5.24
64,Parker Bros.,4.970000000000001
65,Tomy Corporation,4.97
66,BAM! Entertainment,4.95
67,Imagic,4.82
68,Zoo Games,4.82
69,Arena Entertainment,4.72
70,Koch Media,4.71
71,City Interactive,4.61
72,Ubisoft Annecy,4.46
73,Nordic Games,4.44
74,Destineer,4.36
75,Play It,4.3100000000000005
76,PQube,4.27
77,Palcom,4.17
78,Marvelous Interactive,4.17
79,ChunSoft,4.07
80,Idea Factory,4.0200000000000005
81,Game Factory,3.79
82,Kadokawa Shoten,3.77
83,Gotham Games,3.72
84,Natsume,3.69
85,GSP,3.69
86,Square,3.64
87,Ocean,3.61
88,DTP Entertainment,3.59
89,Sony Online Entertainment,3.5300000000000002
90,SCi,3.52
91,Mattel Interactive,3.5100000000000002
92,Oxygen Interactive,3.46
93,Takara,3.45
94,Maxis,3.39
95,Titus,3.32
